flow,pkts,bytes,dur,pps,mean_size,std_size,min_iat,mean_iat,syn,ack,fin,rst,syn_frac,bidir,proto,dport,label
"('4', '10.152.60.92', 45059, '163.118.113.58', 8000, 'TCP')",1,94,1e-09,999999999.9999999,94.0,0.0,1e-09,1e-09,0,1,0,0,0.0,0,TCP,163.118.113.58,Malicious
"('4', '10.152.60.92', 60989, '17.248.201.67', 443, 'TCP')",36,15183,1.3865349292755127,25.964005118003477,421.75,536.2714577421484,9.5367431640625e-07,0.03961528369358608,2,35,3,0,0.05555555555555555,1,TCP,17.248.201.67,Normal
"('4', '10.152.60.92', 59060, '172.64.148.235', 443, 'TCP')",4,316,0.01462101936340332,273.57873624133714,79.0,13.076696830622021,0.0003371238708496094,0.00487367312113444,0,4,0,0,0.0,1,TCP,172.64.148.235,Normal
"('4', '10.152.60.92', 53833, '74.125.136.207', 443, 'UDP')",217,187147,1.9344751834869385,112.175127317401,862.4285714285714,570.9871359444871,0.0,0.008955903627254345,0,0,0,0,0.0,1,UDP,74.125.136.207,Normal
"('4', '10.152.60.92', 60990, '17.248.201.67', 443, 'TCP')",32,12450,5.1259870529174805,6.2427001218793645,389.0625,474.61635411535286,2.86102294921875e-06,0.16535442106185422,2,31,2,0,0.0625,1,TCP,17.248.201.67,Normal
"('4', '10.152.60.92', 59223, '172.64.148.235', 443, 'TCP')",4,316,0.01541900634765625,259.4200890648194,79.0,13.076696830622021,0.0015120506286621094,0.005139668782552083,0,4,0,0,0.0,1,TCP,172.64.148.235,Normal
"('4', '10.152.60.92', 60991, '17.248.201.67', 443, 'TCP')",43,17749,2.654649019241333,16.19799818670149,412.7674418604651,525.3729500215882,1.9073486328125e-06,0.06320592902955555,2,42,2,0,0.046511627906976744,1,TCP,17.248.201.67,Normal
"('4', '10.152.60.92', 58314, '18.97.36.45', 443, 'TCP')",4,316,0.08419108390808105,47.51096926566664,79.0,13.076696830622021,0.0001201629638671875,0.02806369463602702,0,4,0,0,0.0,1,TCP,18.97.36.45,Normal
"('4', '10.152.60.92', 51629, '10.20.20.11', 53, 'UDP')",2,208,0.004544973373413086,440.04658238472433,104.0,25.0,0.004544973373413086,0.004544973373413086,0,0,0,0,0.0,1,UDP,10.20.20.11,Normal
"('4', '10.152.60.92', 28149, '10.20.20.11', 53, 'UDP')",2,174,0.0044651031494140625,447.9179837676207,87.0,8.0,0.0044651031494140625,0.0044651031494140625,0,0,0,0,0.0,1,UDP,10.20.20.11,Normal
"('4', '10.152.60.92', 63072, '64.233.185.84', 443, 'UDP')",29,14570,0.12822794914245605,226.15974281692812,502.41379310344826,529.2104409818772,9.5367431640625e-07,0.004579569612230573,0,0,0,0,0.0,1,UDP,64.233.185.84,Normal
"('4', '10.152.12.117', 7000, '10.152.60.92', 59315, 'TCP')",12,2792,0.13020706176757812,92.16090000878914,232.66666666666666,394.2039094456348,2.1457672119140625e-06,0.011837005615234375,2,11,2,0,0.16666666666666666,1,TCP,10.152.60.92,Normal
"('4', '10.152.60.92', 60530, '192.178.50.36', 443, 'UDP')",2,139,0.036962032318115234,54.109578791201706,69.5,1.5,0.036962032318115234,0.036962032318115234,0,0,0,0,0.0,1,UDP,192.178.50.36,Normal
"('4', '10.152.33.244', 53025, '10.152.60.92', 7000, 'TCP')",13,2855,0.054566144943237305,238.24296206967367,219.6153846153846,381.0858046851712,1.9073486328125e-06,0.004547178745269775,2,12,2,0,0.15384615384615385,1,TCP,10.152.60.92,Normal
"('4', '10.152.60.92', 51915, '163.118.113.58', 1499, 'TCP')",1,54,1e-09,999999999.9999999,54.0,0.0,1e-09,1e-09,1,0,0,0,1.0,0,TCP,163.118.113.58,Malicious
"('4', '10.152.60.92', 35318, '163.118.113.58', 1500, 'TCP')",1,54,1e-09,999999999.9999999,54.0,0.0,1e-09,1e-09,1,0,0,0,1.0,0,TCP,163.118.113.58,Malicious
"('4', '10.152.60.92', 52169, '163.118.113.58', 1501, 'TCP')",1,54,1e-09,999999999.9999999,54.0,0.0,1e-09,1e-09,1,0,0,0,1.0,0,TCP,163.118.113.58,Malicious
"('4', '10.152.60.92', 18615, '163.118.113.58', 1502, 'TCP')",1,54,1e-09,999999999.9999999,54.0,0.0,1e-09,1e-09,1,0,0,0,1.0,0,TCP,163.118.113.58,Malicious
"('4', '10.152.60.92', 64627, '163.118.113.58', 1503, 'TCP')",1,54,1e-09,999999999.9999999,54.0,0.0,1e-09,1e-09,1,0,0,0,1.0,0,TCP,163.118.113.58,Malicious
"('4', '10.152.60.92', 62864, '163.118.113.58', 1504, 'TCP')",1,54,1e-09,999999999.9999999,54.0,0.0,1e-09,1e-09,1,0,0,0,1.0,0,TCP,163.118.113.58,Malicious
"('4', '10.152.60.92', 60992, '17.248.201.67', 443, 'TCP')",44,21133,2.144284963607788,20.519660747874394,480.29545454545456,563.6892510927636,9.5367431640625e-07,0.0498670921769253,2,43,3,0,0.045454545454545456,1,TCP,17.248.201.67,Normal
